ID,Year,JT,Age,OR_cal,IW_cal
TS_95,19,61,2,12.69658796,1.423236268
TS_95,19,61,3,14.11982423,1.474253699
TS_95,19,61,4,15.59407793,1.484757287
TS_95,19,61,5,17.07883521,1.369217812
TS_95,19,61,6,18.44805302,1.153894243
TS_95,19,61,7,19.60194727,1.59054343
TS_95,19,61,8,21.1924907,1.376720375
TS_95,19,61,9,22.56921107,1.420985499
TS_95,19,61,10,23.99019657,1.470502417
TS_95,19,61,11,25.46069899,1.63780958
TS_95,19,61,12,27.09850857,1.796113666
TS_95,19,61,13,28.89462224,1.690327523
TS_95,19,61,14,30.58494976,2.372310532
TS_95,19,61,15,32.95726029,2.117973634
TS_95,19,61,16,35.07523392,2.071457741
TS_95,19,61,17,37.14669167,2.819463307
TS_95,19,61,18,39.96615497,3.456430936
TS_95,19,61,19,43.42258591,3.453429911
TS_95,19,61,20,46.87601582,2.396318734
TS_95,19,61,21,49.27233455,2.760943313
TS_95,19,61,22,52.03327787,2.823964845
TS_95,19,61,23,54.85724271,3.876574484
TS_95,19,61,24,58.7338172,3.448928373
TS_95,19,61,25,62.18274557,3.106061227
TS_95,19,61,26,65.2888068,3.25911352
TS_95,19,61,27,68.54792032,3.870572433
TS_95,19,61,28,72.41849275,3.848814999
TS_95,19,61,29,76.26730775,3.360398125
TS_95,19,61,30,79.62770587,3.196842244
TS_95,19,61,31,82.82454812,3.205095064
TS_95,19,61,32,86.02964318,3.362648894
TS_95,19,61,33,89.39229208,3.199843269
TS_95,19,61,34,92.59213534,3.848814999
TS_95,19,61,35,96.44095034,3.772288853
TS_95,19,61,36,100.2132392,3.458681705
TS_95,19,61,37,103.6719209,3.463933499
TS_95,19,61,38,107.1358544,4.48128109
TS_95,19,61,39,111.6171355,4.632832869
TS_95,19,61,40,116.2499684,4.75962619
TS_95,19,61,41,121.0095946,4.406255456
TS_95,19,61,42,125.41585,4.337231873
TS_95,19,61,43,129.7530819,4.826399004
TS_95,19,61,44,134.5794809,3.757283726
TS_95,19,61,45,138.3367646,4.274960598
TS_95,19,61,46,142.6117252,4.689852351
TS_95,19,61,47,147.3015776,6.463458327
TS_95,19,61,48,153.7650359,5.478371759
TS_95,19,61,49,159.2434076,5.766470192
TS_95,19,61,50,165.0098778,6.188114252
TS_95,19,61,51,171.1979921,6.346418339
TS_95,19,61,52,177.5444104,7.402029002
TS_95,19,61,53,184.9464394,6.588000879
TS_95,19,61,54,191.5344403,7.516067965
TS_95,19,61,55,199.0505083,7.159696206
TS_95,19,61,56,206.2102045,6.758309067
TS_95,19,61,57,212.9685135,7.641360773
TS_95,19,61,58,220.6098743,10.05193438
TS_95,19,61,59,230.6618087,7.822922807
TS_95,19,61,60,238.4847315,10.68815175
TS_95,19,61,61,249.1728833,9.533507251
TS_95,19,61,62,258.7063905,8.525912993
TS_95,19,61,63,267.2323035,8.112521752
TS_95,19,61,64,275.3448253,10.37304409
TS_95,19,61,65,285.7178693,7.308997217
TS_95,19,61,66,293.0268666,10.32277692
TS_95,19,61,67,303.3496435,9.953650798
TS_95,19,61,68,313.3032943,9.832859528
TS_95,19,61,69,323.1361538,8.589684781
TS_95,19,61,70,331.7258386,8.838019628
TS_95,19,61,71,340.5638582,10.03767951
TS_95,19,61,72,350.6015377,9.649796983
TS_95,19,61,73,360.2513347,7.587342317
TS_95,19,61,74,367.838677,13.95176681
TS_95,19,61,75,381.7904438,11.7130019
TS_95,19,61,76,393.5034457,14.74178673
TS_95,19,61,77,408.2452325,18.66412685
TS_95,19,61,78,426.9093593,13.75369914
TS_95,19,61,79,440.6630584,14.77854929
TS_95,19,61,80,455.4416077,13.9090022
TS_95,19,61,81,469.3506099,16.62943167
TS_95,19,61,82,485.9800416,12.51052439
TS_95,19,61,83,498.490566,13.33730687
TS_95,19,61,84,511.8278729,13.67567248
TS_95,19,61,85,525.5035453,13.42883814
TS_95,19,61,86,538.9323835,11.97784239
TS_95,19,61,87,550.9102259,16.18678043
TS_95,19,61,88,567.0970063,14.4724447
TS_95,19,61,89,581.569451,14.46269137
TS_95,19,61,90,596.0321424,13.4003284
TS_95,19,61,91,609.4324708,12.30870543
TS_95,19,61,92,621.7411762,14.4724447
TS_95,19,61,93,636.2136209,12.56229208
TS_95,19,61,94,648.775913,14.75454109
TS_95,19,61,95,663.5304541,13.13698843
TS_95,19,61,96,676.6674425,14.72603135
TS_95,19,61,97,691.3934739,12.86389512
TS_95,19,61,98,704.257369,14.71702827
TS_95,19,61,99,718.9743972,13.95551809
TS_95,19,61,100,732.9299153,16.15752043
TS_95,19,61,101,749.0874358,11.99734906
TS_95,19,61,102,761.0847848,15.63759279
TS_95,19,61,103,776.7223776,14.31264011
TS_95,19,61,104,791.0350177,15.9759584
TS_95,19,61,105,807.0109761,14.89333851
